"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"896,""501.707882863"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""41287  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=263063785 TSecr=0 WS=128"""
"897,""501.708015831"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  41287 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=986024873 TSecr=263063785 WS=128"""
"898,""501.711321598"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""41287  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=263063790 TSecr=986024873"""
"899,""501.717740735"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"900,""501.717838808"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  41287 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=986024882 TSecr=263063796"""
"901,""502.790203839"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  41287 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=986025955 TSecr=263063796 [TCP segment of a reassembled PDU]"""
"902,""502.790246755"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  41287 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=986025955 TSecr=263063796 [TCP segment of a reassembled PDU]"""
"903,""502.790251495"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"904,""502.794709287"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""41287  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=263064873 TSecr=986025955"""
"905,""502.797302505"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""41287  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=263064876 TSecr=986025955"""
"906,""502.797372973"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""41287  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=263064876 TSecr=986025955"""
"907,""502.839619971"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"908,""502.839671898"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  41287 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=986026004 TSecr=263064917"""
"909,""503.669026405"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"910,""503.709472213"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""37029  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=1357123937 TSecr=2852644636"""
"911,""503.710441948"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"912,""503.710507885"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  37029 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=2852644677 TSecr=1357123938"""
"913,""505.127637565"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"914,""505.131045727"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""41287  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=263067210 TSecr=986028292"""
"915,""505.133079989"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"916,""505.133128790"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  41287 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=986028298 TSecr=263067211"""
"917,""505.941782191"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""99"",""Application Data"""
"918,""505.943286455"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""97"",""Encrypted Alert"""
"919,""505.943783849"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  37029 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852646910 TSecr=1357123938"""
"920,""505.950930483"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""37029  >  8883 [RST, ACK] Seq=1868 Ack=3361 Win=64128 Len=0 TSval=1357126178 TSecr=2852646908"""
"921,""505.951875114"",""192.168.68.106"",""192.168.68.114"",""TCP"",""54"",""37029  >  8883 [RST] Seq=1868 Win=0 Len=0"""
"922,""507.438082763"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"923,""507.439261769"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"924,""507.439607704"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  41287 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=986030604 TSecr=263067211"""
"925,""507.451948222"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""41287  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=263069529 TSecr=986030603"""
"926,""538.012312639"",""192.168.68.106"",""192.168.68.114"",""TCP"",""74"",""37057  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1357158212 TSecr=0 WS=128"""
"927,""538.012509305"",""192.168.68.114"",""192.168.68.106"",""TCP"",""74"",""8883  >  37057 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2852678979 TSecr=1357158212 WS=128"""
"928,""538.015695801"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""37057  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1357158243 TSecr=2852678979"""
"929,""538.022416448"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"930,""538.022559468"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  37057 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=2852678989 TSecr=1357158248"""
"931,""539.125949181"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  37057 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=2852680093 TSecr=1357158248 [TCP segment of a reassembled PDU]"""
"932,""539.126005691"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  37057 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=2852680093 TSecr=1357158248 [TCP segment of a reassembled PDU]"""
"933,""539.126010431"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"934,""539.129949111"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""37057  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=1357159356 TSecr=2852680093"""
"935,""539.130076558"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""37057  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=1357159357 TSecr=2852680093"""
"936,""539.132574828"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""37057  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=1357159360 TSecr=2852680093"""
"937,""539.176709109"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"938,""539.176804108"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  37057 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=2852680143 TSecr=1357159404"""
"939,""539.487755623"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""60073  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=263101564 TSecr=0 WS=128"""
"940,""539.487885674"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  60073 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=986062653 TSecr=263101564 WS=128"""
"941,""539.491330138"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""60073  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=263101570 TSecr=986062653"""
"942,""539.496736468"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"943,""539.496847457"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  60073 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=986062661 TSecr=263101576"""
"944,""540.549313961"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  60073 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=986063714 TSecr=263101576 [TCP segment of a reassembled PDU]"""
"945,""540.549351565"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  60073 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=986063714 TSecr=263101576 [TCP segment of a reassembled PDU]"""
"946,""540.549355940"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"947,""540.553838680"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""60073  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=263102632 TSecr=986063714"""
"948,""540.556428096"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""60073  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=263102635 TSecr=986063714"""
"949,""540.556503981"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""60073  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=263102635 TSecr=986063714"""
"950,""540.598339990"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"951,""540.598412542"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  60073 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=986063763 TSecr=263102677"""
"952,""541.476565457"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"953,""541.479622943"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""37057  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=1357161707 TSecr=2852682443"""
"954,""541.480623824"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"955,""541.480675594"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  37057 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=2852682447 TSecr=1357161708"""
"956,""542.888720233"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"957,""542.892528653"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""60073  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=263104971 TSecr=986066053"""
"958,""542.894646977"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"959,""542.894700102"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  60073 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=986066059 TSecr=263104973"""
"960,""543.691858329"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""99"",""Application Data"""
"961,""543.693190562"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""97"",""Encrypted Alert"""
"962,""543.693696029"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  37057 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852684660 TSecr=1357161708"""
"963,""543.730900444"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""[TCP Retransmission] 8883  >  37057 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852684698 TSecr=1357161708"""
"964,""543.748938540"",""192.168.68.106"",""192.168.68.114"",""TCP"",""78"",""37057  >  8883 [ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=1357163975 TSecr=2852684658 SLE=3361 SRE=3362"""
"965,""543.752552482"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""37057  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=1357163977 TSecr=2852684658"""
"966,""545.129804862"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"967,""545.131031680"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"968,""545.131388189"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  60073 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=986068296 TSecr=263104973"""
"969,""545.136829310"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""60073  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=263107215 TSecr=986068294"""
"970,""574.773541975"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""48611  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=263136830 TSecr=0 WS=128"""
"971,""574.773687443"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  48611 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=986097938 TSecr=263136830 WS=128"""
"972,""574.776931127"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""48611  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=263136855 TSecr=986097938"""
"973,""574.785452182"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"974,""574.785567442"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  48611 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=986097950 TSecr=263136863"""
"975,""575.785367446"",""192.168.68.106"",""192.168.68.114"",""TCP"",""74"",""36263  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1357196012 TSecr=0 WS=128"""
"976,""575.785471873"",""192.168.68.114"",""192.168.68.106"",""TCP"",""74"",""8883  >  36263 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2852716752 TSecr=1357196012 WS=128"""
"977,""575.788183111"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""36263  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1357196016 TSecr=2852716752"""
"978,""575.794056261"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"979,""575.794141052"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  36263 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=2852716761 TSecr=1357196021"""
"980,""575.893264718"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  48611 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=986099058 TSecr=263136863 [TCP segment of a reassembled PDU]"""
"981,""575.893302947"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  48611 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=986099058 TSecr=263136863 [TCP segment of a reassembled PDU]"""
"982,""575.893306958"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"983,""575.897148503"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""48611  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=263137975 TSecr=986099058"""
"984,""575.899503596"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""48611  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=263137978 TSecr=986099058"""
"985,""575.899569429"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""48611  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=263137978 TSecr=986099058"""
"986,""575.917530025"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"987,""575.917575441"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  48611 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=986099082 TSecr=263137996"""
"988,""576.852713134"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  36263 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=2852717819 TSecr=1357196021 [TCP segment of a reassembled PDU]"""
"989,""576.852748707"",""192.168.68.114"",""192.168.68.106"",""TCP"",""1514"",""8883  >  36263 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=2852717819 TSecr=1357196021 [TCP segment of a reassembled PDU]"""
"990,""576.852753290"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"991,""576.856782126"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""36263  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=1357197083 TSecr=2852717819"""
"992,""576.858123891"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""36263  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=1357197086 TSecr=2852717819"""
"993,""576.858194516"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""36263  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=1357197086 TSecr=2852717819"""
"994,""576.900907551"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"995,""576.900972811"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  36263 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=2852717868 TSecr=1357197128"""
"996,""577.218832101"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""51367  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=263139248 TSecr=0 WS=128"""
"997,""577.218942986"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  51367 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=986100384 TSecr=263139248 WS=128"""
"998,""577.222237242"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""51367  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=263139301 TSecr=986100384"""
"999,""577.225557487"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"1000,""577.225641289"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  51367 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=986100390 TSecr=263139303"""
"1001,""578.611454336"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"1002,""578.624590630"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"1003,""578.624722140"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  48611 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=986101789 TSecr=263140702"""
"1004,""579.127497728"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  51367 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=986102292 TSecr=263139303 [TCP segment of a reassembled PDU]"""
"1005,""579.127549602"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  51367 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=986102292 TSecr=263139303 [TCP segment of a reassembled PDU]"""
"1006,""579.127558977"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"1007,""579.160937837"",""192.168.68.114"",""192.168.68.104"",""TCP"",""415"",""[TCP Retransmission] 8883  >  51367 [PSH, ACK] Seq=2897 Ack=518 Win=64768 Len=349 TSval=986102326 TSecr=263139303"""
"1008,""579.251800706"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""51367  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=263141329 TSecr=986102292"""
"1009,""579.251993882"",""192.168.68.104"",""192.168.68.114"",""TCP"",""78"",""[TCP Dup ACK 1008#1] 51367  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=263141329 TSecr=986102326 SLE=2897 SRE=3246"""
"1010,""579.288936736"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"1011,""579.289020433"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  51367 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=986102454 TSecr=263141367"""
"1012,""580.451990374"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"1013,""580.455244213"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""36263  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=1357200683 TSecr=2852721419"""
"1014,""580.459248830"",""192.168.68.106"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"1015,""580.459324820"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  36263 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=2852721426 TSecr=1357200684"""
"1016,""582.164573865"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"1017,""582.165738599"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"1018,""582.166128545"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  48611 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=986105331 TSecr=263140702"""
"1019,""582.171878206"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""48611  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=263144250 TSecr=986105329"""
"1020,""582.507704706"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"1021,""582.512829474"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""51367  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=263144590 TSecr=986105672"""
"1022,""582.514699570"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""145"",""Application Data"""
"1023,""582.514777955"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  51367 [ACK] Seq=3297 Ack=1868 Win=64128 Len=0 TSval=986105679 TSecr=263144592"""
"1024,""582.933775848"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""99"",""Application Data"""
"1025,""582.934780166"",""192.168.68.114"",""192.168.68.106"",""TLSv1.2"",""97"",""Encrypted Alert"""
"1026,""582.935077196"",""192.168.68.114"",""192.168.68.106"",""TCP"",""66"",""8883  >  36263 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=2852723902 TSecr=1357200684"""
"1027,""582.969456572"",""192.168.68.106"",""192.168.68.114"",""TCP"",""66"",""36263  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=1357203197 TSecr=2852723900"""
"1028,""583.176730476"",""192.168.68.104"",""192.168.68.114"",""TCP"",""74"",""57213  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=263145254 TSecr=0 WS=128"""
"1029,""583.176836413"",""192.168.68.114"",""192.168.68.104"",""TCP"",""74"",""8883  >  57213 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=986106341 TSecr=263145254 WS=128"""
"1030,""583.180188013"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""57213  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=263145259 TSecr=986106341"""
"1031,""583.187641312"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""583"",""Client Hello"""
"1032,""583.187724905"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  57213 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=986106352 TSecr=263145265"""
"1033,""584.253190025"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  57213 [ACK] Seq=1 Ack=518 Win=64768 Len=1448 TSval=986107418 TSecr=263145265 [TCP segment of a reassembled PDU]"""
"1034,""584.253229660"",""192.168.68.114"",""192.168.68.104"",""TCP"",""1514"",""8883  >  57213 [ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=986107418 TSecr=263145265 [TCP segment of a reassembled PDU]"""
"1035,""584.253234139"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""415"",""Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"""
"1036,""584.259903015"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""57213  >  8883 [ACK] Seq=518 Ack=1449 Win=64128 Len=0 TSval=263146337 TSecr=986107418"""
"1037,""584.260987125"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""57213  >  8883 [ACK] Seq=518 Ack=2897 Win=64128 Len=0 TSval=263146340 TSecr=986107418"""
"1038,""584.261059729"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""57213  >  8883 [ACK] Seq=518 Ack=3246 Win=64128 Len=0 TSval=263146340 TSecr=986107418"""
"1039,""584.304285470"",""192.168.68.104"",""192.168.68.114"",""TLSv1.2"",""1337"",""Certificate, Client Key Exchange, Certificate Verify, Change Cipher Spec, Encrypted Handshake Message"""
"1040,""584.304370001"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  57213 [ACK] Seq=3246 Ack=1789 Win=64128 Len=0 TSval=986107469 TSecr=263146382"""
"1041,""584.728063446"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""99"",""Application Data"""
"1042,""584.729650730"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""97"",""Encrypted Alert"""
"1043,""584.730162342"",""192.168.68.114"",""192.168.68.104"",""TCP"",""66"",""8883  >  51367 [FIN, ACK] Seq=3361 Ack=1868 Win=64128 Len=0 TSval=986107895 TSecr=263144592"""
"1044,""584.735677057"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""51367  >  8883 [RST, ACK] Seq=1868 Ack=3362 Win=64128 Len=0 TSval=263146814 TSecr=986107893"""
"1045,""586.714131422"",""192.168.68.114"",""192.168.68.104"",""TLSv1.2"",""117"",""Change Cipher Spec, Encrypted Handshake Message"""
"1046,""586.721553576"",""192.168.68.104"",""192.168.68.114"",""TCP"",""66"",""57213  >  8883 [ACK] Seq=1789 Ack=3297 Win=64128 Len=0 TSval=263148797 TSecr=986109879"""
